CASE_T,DISTRICT,CASE_F,BUILD_NAME,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,TRANS_TARGET,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE,RENT_TYPE,RENT_PERIOD,MANAGE,RENT_SERVICE
買賣,中正區,房地(土地+建物)+車位,,忠孝東路二段64巷16號十一樓之8,3.44,,1100316,土地:1建物:1車位:1,,十一層,,大樓(11層含以上有電梯),見其他登記事項,,,32.18,1,2,1,有,,,3680,129.53,否,坡道平面1,6.51,355,有,,,,"預售屋、或土地及建物分件登記案件。登記名義人變更.113年3月6日簽立預售屋承購權利買賣契約書,買賣總價為3730萬元整(含一平面停車位)。",,,,
預售屋,大安區,房地(土地+建物)+車位,德運安和,臺北市大安區全安里和平東路三段,4.1,,1150503,土地:31建物:1車位:1,0棟13F-A3號,十三層,036,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,61.16,3,2,2,有,,,8729,167.99,否,坡道平面1,11.58,400,,30.83,2.5,27.83,,,,,
租賃,中正區,房屋,,詔安街50巷15號,0,,1150504,土地:建物:1車位:房間個數:,,見其他登記事項,002,透天厝,,,,23.86,3,2,2,有,無,冷氣4台、熱水器、瓦斯或天然氣、傢俱,3,0,-,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/25至117/05/24,無,社會住宅包租轉租
租賃,內湖區,房屋,,星雲街168巷15號十二樓,0,,1150506,土地:建物:1車位:房間個數:,,十二層,016,住宅大樓(11層含以上有電梯),住家用,,,34.57,2,2,1,有,有,冷氣2台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,668.3,否,,0,0,,,,,租金已扣除管理費1897元，由出租人負擔。,整棟(戶)出租,115/05/10至118/05/09,有,社會住宅代管
買賣,中正區,房地(土地+建物)+車位,,和平西路一段19號九樓,2.49,,1150502,土地:2建物:1車位:1,,九層,,大樓(11層含以上有電梯),見其他登記事項,,,28.97,2,2,1,有,,,3780,143.38,否,塔式車位1,4.21,230,有,,,,"交易總價：3780萬元整內含車位價(土地價格：29,135,662元整、建物價格：8,664,338元整)
塔式車位位於地下第三層。",,,,
買賣,萬華區,房地(土地+建物),,西寧南路36號二樓之100,0.39,,1150422,土地:1建物:1車位:,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,屋頂突出物,騎樓,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),商業用,,,6.25,,,,無,,,178,28.48,否,,0,0,有,,,,,,,,
租賃,大安區,土地,,通化段四小段0301-0000地號,10.29,,1150505,土地:1建物:車位:房間個數:,,,,,,,,0,,,,無,,,5,4373.18,-,,0,0,,,,,租金：含稅。租賃標的：含增建或未登記建物。,,115/05/05至120/05/04,,
買賣,內湖區,房地(土地+建物)+車位,,內湖路二段355巷22號七樓,8.85,,1150315,土地:2建物:1車位:2,,七層,,華廈(10層含以下有電梯),住家用,,,58.3,3,2,2,有,,,4588,87.39,否,"坡道平面1,坡道機械1",9.92,360,有,,,,建築物含有：其他增建。,,,,
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,18.26,,1150506,土地:21建物:1車位:3,D棟D3-11F號,十一層,027,廠辦,商業用,見其他登記事項,,191.13,,,,無,,,12580,70,否,坡道平面3,22.56,780,,92.01,6.2,92.92,,,,,
買賣,萬華區,房地(土地+建物),,中華路二段504巷4號十一樓,3.75,,1150424,土地:1建物:1車位:,,十一層,,大樓(11層含以上有電梯),住家用,,,13.94,2,1,1,有,,,940,67.43,否,,0,0,有,,,,建築物含有：陽台外推、其他增建。,,,,
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,15.84,,1150506,土地:21建物:1車位:3,D棟D5-11F號,十一層,027,廠辦,商業用,見其他登記事項,,168.81,,,,無,,,11018,70,否,坡道平面3,22.56,780,,82.19,3.03,83.59,,,,,
買賣,南港區,房地(土地+建物),,重陽路338號六樓,1.93,,1150318,土地:1建物:1車位:,,六層,,大樓(11層含以上有電梯),見其他登記事項,,,18.66,1,1,1,有,,,2250,120.58,否,,0,0,有,,,,,,,,
買賣,文山區,房地(土地+建物)+車位,,木新路三段95巷7弄8號五樓,15.19,,1150423,土地:1建物:1車位:3,,五層,,大樓(11層含以上有電梯),住家用,,,129.97,3,2,3,有,,,6900,61.7,否,坡道平面3,32.72,900,有,,,,建築物含有：其他增建。,,,,
買賣,大安區,房地(土地+建物),,忠孝東路三段248巷11之2號六樓,2.89,,1150522,土地:1建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,11.44,3,2,1,有,,,870,76.05,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,北投區,土地,,八仙段二小段0229-0000地號,18.53,,1150427,土地:1建物:0車位:,,,,,,,,0,,,,無,,,371,20.02,-,,0,0,無,,,,,,,,
租賃,士林區,房屋,,故宮路35巷4號二樓,0,,1150504,土地:建物:1車位:房間個數:0,,二層,004,公寓(無電梯),住家用,,,33.83,3,1,2,有,無,冷氣4台、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,3,768.55,否,,0,0,,,,,承租人：多人共同承租，共2人。管理費元，水電費 瓦斯費 由承租人負擔,整棟(戶)出租,115/05/05至116/05/04,無,社會住宅包租轉租
預售屋,中山區,房地(土地+建物),松江阡語,臺北市中山區松江路184巷,5.22,,1150420,土地:1建物:1車位:,0棟B-7號,七層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,24.21,2,2,2,有,,,3185,131.56,否,,0,0,,14.7,1.03,8.47,,,,,
租賃,內湖區,房屋,,麗山街145巷8號,0,,1150503,土地:建物:車位:房間個數:1,,一層,005,公寓(無電梯),商業用,,,5.99,5,2,3,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路、傢俱,1,1469.12,否,,0,0,,,,,租賃標的：租賃建物部分範圍，且未計入共有部分面積。此物件為3人房其中一床,分租套房,115/05/03至115/06/03,無,一般轉租
租賃,大同區,房屋,,民權西路91號四樓之14,0,,1150507,土地:建物:1車位:房間個數:,,四層,012,住宅大樓(11層含以上有電梯),商業用,,,7.52,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,1,1861.7,否,,0,0,,,,,,獨立套房,115/05/07至116/03/30,有,社會住宅包租轉租
買賣,南港區,房地(土地+建物),,舊莊街一段145巷6弄47號,8.68,,1150129,土地:2建物:1車位:,,一層,,公寓(5樓含以下無電梯),住家用,,,24,3,2,2,有,,,1500,62.5,否,,0,0,無,,,,建築物含有：其他增建。,,,,
租賃,北投區,房屋,,中央北路一段167巷1弄23號二樓,0,,1150506,土地:建物:1車位:房間個數:,,二層,002,公寓(無電梯),住家用,,,13.76,1,1,1,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,1,1053.78,否,,0,0,,,,,,獨立套房,115/05/09至118/05/08,無,社會住宅包租轉租
買賣,南港區,房地(土地+建物),,松河街772號三樓之3,3.2,,1150329,土地:1建物:1車位:,,三層,,華廈(10層含以下有電梯),住家用,,,11.87,1,0,1,有,,,1040,87.62,否,,0,0,有,,,,建築物含有：其他增建。,,,,
租賃,文山區,房屋,,木新路二段17號八樓,0,,1150506,土地:建物:1車位:房間個數:,,八層,010,華廈(10層含以下有電梯),住家用,,,15.3,1,1,1,有,有,冷氣2台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,1307.19,否,,0,0,,,,,,獨立套房,115/05/15至118/05/14,有,社會住宅包租轉租
買賣,士林區,房地(土地+建物)+車位,,中正路420號六樓,61.79,,1150423,土地:2建物:1車位:8,,六層,,大樓(11層含以上有電梯),商業用,,,420.66,,,,無,,,38861,92.38,是,坡道平面8,0,0,有,,,,與政府有關之交易：政府機關標讓售。,,,,
買賣,內湖區,土地,,潭美段一小段0436-0000地號,2.72,,1150515,土地:2建物:0車位:,,,,,,,,0,,,,無,,,128,47.06,-,,0,0,無,,,,土地上有：未登記建物。,,,,
租賃,北投區,房屋,,光明路200號九樓之20,0,,1150504,土地:建物:1車位:房間個數:,,九層,014,住宅大樓(11層含以上有電梯),共有部分,,,7.69,1,1,1,有,有,冷氣1台、熱水器、傢俱,1,1690.51,否,,0,0,,,,,其他：續租案件。,獨立套房,115/05/08至116/05/07,有,社會住宅代管
租賃,內湖區,房屋,,成功路二段426巷54號二樓,0,,1150507,土地:建物:1車位:房間個數:,,二層,005,公寓(無電梯),住家用,,,33.16,2,2,2,有,無,冷氣3台、熱水器、瓦斯或天然氣、傢俱,3,904.7,否,,0,0,,,,,,整棟(戶)出租,115/05/15至116/05/14,無,社會住宅代管
租賃,內湖區,房屋+車位,,內湖路一段411巷62弄6號七樓之3,0,,1150505,土地:建物:1車位:1房間個數:0,,七層,014,住宅大樓(11層含以上有電梯),住家用,,,40.21,2,2,2,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,5,1243.47,是,坡道平面1,10.31,0,,,,,,整棟(戶)出租,115/07/01至116/06/30,有,無
買賣,萬華區,土地,,青年段一小段0451-0000地號,0.01,,1150518,土地:1建物:0車位:,,,,,,,,0,,,,無,,,0,0,-,,0,0,無,,,,,,,,
租賃,中正區,房屋,,中華路二段313巷41號四樓,0,,1150501,土地:建物:1車位:房間個數:,,四層,005,公寓(無電梯),,,,7.75,1,0,1,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,1,1419.35,否,,0,0,,,,,,獨立套房,115/05/01至116/04/30,無,社會住宅代管
買賣,大安區,房地(土地+建物)+車位,,信義路二段218號五樓之2,7.78,,1100331,土地:2建物:1車位:2,,五層,,大樓(11層含以上有電梯),見其他登記事項,,,113.66,1,1,3,有,,,13168,141.91,否,坡道平面2,25.8,700,有,,,,"預售屋、或土地及建物分件登記案件。原買受人:倫○○○,115/4/10繼受,金額不變。",,,,
買賣,松山區,房地(土地+建物),,三民路74巷7號七樓之1,7.91,,1150417,土地:1建物:1車位:,,七層,,華廈(10層含以下有電梯),見其他登記事項,,,33.7,2,2,2,有,,,3032,89.97,否,,0,0,有,,,,建築物含有：其他增建。,,,,
租賃,文山區,房屋,,木新路三段95巷2弄18號二樓,0,,1150501,土地:建物:1車位:房間個數:,,二層,004,公寓(無電梯),住家用,,,30.86,3,2,1,有,無,冷氣4台、熱水器、洗衣機、傢俱,3,907.32,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/06/01至116/05/31,無,社會住宅代管
租賃,內湖區,房屋,,康寧路三段52號三樓,0,,1150501,土地:建物:車位:房間個數:1,,三層,005,公寓(無電梯),住家用,,,3.63,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,3581.27,否,,0,0,,,,,租金：含下列其他衍生費用：網路費、其他-公區使用、清潔服務、垃圾代收。租賃標的：租賃建物部分範圍，且未計入共有部分面積。其他：續租案件。,分租雅房,115/06/01至116/05/31,無,一般轉租
買賣,大安區,房地(土地+建物),,忠孝東路三段248巷11之2號六樓,2.89,,1150522,土地:1建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,11.44,3,2,1,有,,,900,78.67,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,中正區,房地(土地+建物)+車位,,紹興南街22號十樓之1,4.59,,1110612,土地:1建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,屋頂突出物,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),見其他登記事項,,,32.86,2,1,1,有,,,3415,130.09,否,塔式車位1,8.53,250,有,,,,預售屋、或土地及建物分件登記案件。,,,,
買賣,大安區,房地(土地+建物),,師大路92巷11號,16.79,,1150320,土地:2建物:1車位:,,"一層,平台",,公寓(5樓含以下無電梯),住家用,,,47.29,3,2,3,有,,,7588,160.46,否,,0,0,無,,,,建築物含有：其他增建。,,,,
租賃,中正區,房屋,,延平南路160之7號,0,,1150502,土地:建物:車位:房間個數:1,,三層,004,公寓(無電梯),,,,5.77,12,0,12,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,1,2062.39,否,,0,0,,,,,303室,分租套房,115/05/07至116/05/06,無,一般轉租
租賃,內湖區,房屋,,江南街96巷7號,0,,1150506,土地:建物:1車位:房間個數:,,一層,016,店面(店鋪),商業用,,,43.62,,,,無,有,無,6,1375.52,否,,0,0,,,,,,,115/06/01至118/05/31,有,
租賃,信義區,房屋,,中坡南路166號二樓,0,,1150501,土地:建物:車位:房間個數:1,,二層,005,公寓(無電梯),住家用,,,3.33,5,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,3753.75,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費、其他-清潔費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/06至115/07/31,無,一般轉租
租賃,萬華區,房屋,,西藏路484號五樓,0,,1150505,土地:建物:車位:房間個數:1,,五層,005,公寓(無電梯),住家用,,,8.31,5,0,5,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,1,1588.45,否,,0,0,,,,,租金：含下列其他衍生費用：水費、網路費、其他-MOD。租賃標的：租賃建物部分範圍，且未計入共有部分面積。承租 A房,分租套房,115/05/10至116/05/09,無,一般代管
租賃,萬華區,房屋,,富民路145巷15弄18號四樓,0,,1150501,土地:建物:1車位:房間個數:,,四層,004,公寓(無電梯),住家用,,,26.08,3,2,1,有,無,冷氣2台、熱水器、電視機、冰箱、瓦斯或天然氣、傢俱,2,575.15,否,,0,0,,,,,,整棟(戶)出租,115/05/01至116/04/30,無,社會住宅代管
買賣,北投區,土地,,新民段二小段0168-0000地號,6.12,,1150518,土地:2建物:0車位:,,,,,,,,0,,,,無,,,92,15.03,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
租賃,中山區,房屋,,雙城街12巷3號二樓之5,0,,1150507,土地:建物:1車位:房間個數:0,,二層,006,華廈(10層含以下有電梯),商業用,,,12.79,1,1,1,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,2,1563.72,否,,0,0,,,,,,獨立套房,115/05/11至116/05/10,無,社會住宅代管
買賣,大同區,房地(土地+建物)+車位,,民權西路237之1號十七樓之7,4.15,,1150317,土地:3建物:1車位:1,,十七層,,大樓(11層含以上有電梯),住家用,,,55.85,3,2,2,有,,,4600,97.84,否,坡道平面1,11.9,300,有,,,,,,,,
租賃,信義區,房屋,,吳興街284巷30弄56號五樓,0,,1150504,土地:建物:1車位:房間個數:,,五層,005,公寓(無電梯),住家用,,,29.69,3,2,2,有,無,冷氣3台、熱水器、電視機、瓦斯或天然氣、傢俱,3,929.61,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/28至116/05/27,無,社會住宅包租轉租
買賣,信義區,房地(土地+建物)+車位,,松德路200巷55號十六樓,38.46,,1150414,土地:1建物:1車位:3,,十六層,,大樓(11層含以上有電梯),見其他登記事項,,,218.46,,,,無,,,37800,208.43,否,坡道平面3,45.6,1770,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
租賃,萬華區,房屋,,成都路157號二樓之2,0,,1150505,土地:建物:1車位:房間個數:,,二層,014,住宅大樓(11層含以上有電梯),住家用,,,15.7,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,2,1242.04,否,,0,0,,,,,其他：續租案件。,獨立套房,115/05/10至116/05/09,有,社會住宅包租轉租
買賣,文山區,房地(土地+建物)+車位,,辛亥路四段128之2號十三樓,10.18,,1150331,土地:16建物:1車位:1,,十三層,,大樓(11層含以上有電梯),見其他登記事項,,,58.38,3,2,2,有,,,3780,70.13,否,坡道機械1,7.33,200,有,,,,,,,,
租賃,松山區,房屋,,光復南路6巷40號二樓,0,,1150501,土地:建物:1車位:房間個數:,,二層,004,公寓(無電梯),住家用,,,18.11,2,2,1,有,無,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,1214.8,否,,0,0,,,,,其他：續租案件。國家住宅及都市更新中心社會住宅包租代管計畫之物件。,整棟(戶)出租,115/05/15至116/05/14,無,社會住宅代管
租賃,信義區,房屋,,信義路六段79號四樓,0,,1150503,土地:建物:車位:房間個數:1,,四層,005,公寓(無電梯),住家用,,,3.93,4,1,1,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,2,3893.13,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費、其他-清潔費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/03至116/05/02,無,一般轉租
買賣,萬華區,車位,,長沙街二段11號地下一層,0.04,,1150519,土地:11建物:1車位:1,,地下一層,,,見其他登記事項,,,8.83,,,,無,,,148,0,-,升降平面1,8.83,148,無,,,,僅車位交易。,,,,
買賣,信義區,土地,,虎林段四小段0497-0000地號,5.58,,1150511,土地:1建物:0車位:,,,,,,,,0,,,,無,,,181,32.44,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地,,,,
買賣,松山區,房地(土地+建物),,民生東路三段105號四樓,5.47,,1150314,土地:1建物:1車位:,,四層,,大樓(11層含以上有電梯),住家用,,,38.44,3,2,2,有,,,3420,88.97,否,,0,0,有,,,,建築物含有：陽台外推、其他增建。,,,,
買賣,內湖區,房地(土地+建物)+車位,,民權東路六段190巷117弄35號四樓,10.62,,1150325,土地:1建物:1車位:1,,四層,,華廈(10層含以下有電梯),住家用,,,28.6,4,2,1,有,,,2250,78.02,否,坡道機械1,2.07,180,有,,,,建築物含有：夾層。,,,,
租賃,內湖區,房屋,,星雲街168巷35號八樓之5,0,,1150502,土地:建物:1車位:房間個數:0,,八層,021,住宅大樓(11層含以上有電梯),住家用,,,17.07,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,1405.98,否,,0,0,,,,,租賃標的：含增建或未登記建物。,獨立套房,115/06/01至116/05/31,有,無
買賣,士林區,土地,,溪洲段一小段0176-0000地號,114.04,,1150520,土地:4建物:0車位:,,,,,,,,0,,,,無,,,3193,28,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,
租賃,大安區,房屋,,仁愛路三段143巷46號三樓,0,,1150504,土地:建物:1車位:房間個數:,,三層,005,公寓(無電梯),住家用,,,32.05,3,2,1,有,有,冷氣4台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,3,1060.84,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/20至116/05/19,有,社會住宅代管
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,15.88,,1150506,土地:21建物:1車位:3,D棟D5-16F號,十六層,027,廠辦,商業用,見其他登記事項,,169.19,,,,無,,,11281,71.21,否,坡道平面3,22.56,840,,82.41,3.03,83.75,,,,,
租賃,信義區,房屋,,光復南路495號十四樓之9,0,,1150504,土地:建物:1車位:房間個數:0,,十四層,020,住宅大樓(11層含以上有電梯),商業用,,,14.12,1,1,1,有,有,冷氣1台、熱水器,3,1805.95,否,,0,0,,,,,租金：含下列其他衍生費用：管理費。,獨立套房,115/05/18至116/05/17,有,無
預售屋,北投區,房地(土地+建物),一目辰,臺北市北投區公?路190號2樓 共12筆,4.78,,1150502,土地:13建物:1車位:,0棟A-7F號,七層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,27.84,2,2,2,有,,,3025,108.66,否,,0,0,,16.52,1.57,9.74,,,,,
買賣,松山區,土地,,美仁段二小段0743-0000地號,1.71,,1150511,土地:4建物:0車位:,,,,,,,,0,,,,無,,,83,48.54,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地,,,,
買賣,文山區,房地(土地+建物),,景興路258號十樓之4,1.83,,1150418,土地:1建物:1車位:,,十層,,大樓(11層含以上有電梯),住家用,,,18.52,3,1,1,有,,,1426,77,否,,0,0,有,,,,建築物含有：夾層、其他增建。,,,,
買賣,北投區,土地,,文林段四小段0087-0000地號,2.98,,1150526,土地:1建物:0車位:,,,,,,,,0,,,,無,,,87,29.19,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地,,,,
租賃,內湖區,房屋,,內湖路二段350之2號六樓,0,,1150506,土地:建物:1車位:房間個數:,,六層,012,住宅大樓(11層含以上有電梯),住家用,,,43.27,3,2,2,有,有,冷氣5台、熱水器、瓦斯或天然氣、傢俱,5,1155.54,否,,0,0,,,,,,整棟(戶)出租,115/05/20至120/05/19,有,無
租賃,松山區,房屋,,南京東路五段143號二樓,0,,1150505,土地:建物:車位:房間個數:1,,二層,004,公寓(無電梯),商業用,,,7.87,4,1,4,有,無,冷氣1台,2,2096.57,否,,0,0,,,,,承租人：多人共同承租，共2人。租金：含下列其他衍生費用：管理費、水費、網路費、其他-垃圾代收。,分租套房,115/07/01至116/06/30,無,一般轉租
買賣,中正區,房地(土地+建物)+車位,,杭州南路一段71巷16號十八樓,14.21,,1141016,土地:1建物:2車位:3,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,十五層,十六層,十七層,十八層,十九層,二十層,屋頂突出物,地下一層,地下二層,地下三層,地下四層",,大樓(11層含以上有電梯),見其他登記事項,,,128.42,3,2,3,有,,,18000,185.04,否,坡道平面3,36.98,1080,有,,,,土地價格:1億4400萬元整，建物價格:3600萬元整。,,,,
買賣,文山區,房地(土地+建物),,仙岩路16巷28之1號八樓,7.48,,1150426,土地:1建物:1車位:,,八層,,華廈(10層含以下有電梯),住家用,,,22.53,3,2,1,有,,,1600,71.02,否,,0,0,有,,,,建築物含有：陽臺外推、其他增建。,,,,
買賣,北投區,房地(土地+建物),,文林北路129號二樓,11.2,,1130603,土地:2建物:1車位:,,二層,,大樓(11層含以上有電梯),見其他登記事項,,,56.87,3,2,3,有,,,6850,120.45,否,,0,0,有,,,,預售屋、或土地及建物分件登記案件。,,,,
租賃,松山區,房屋,,八德路四段106巷4弄9號三樓,0,,1150507,土地:建物:1車位:房間個數:,,三層,004,公寓(無電梯),住家用,,,26.79,3,2,1,有,無,冷氣4台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,4,1306.46,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/13至116/05/12,無,社會住宅代管
買賣,信義區,房地(土地+建物),,松信路141號六樓,7.97,,1150316,土地:1建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,36.83,4,2,3,有,,,3340,90.69,否,,0,0,有,,,,建築物含有：陽台外推、其他增建。,,,,
租賃,中山區,房屋,,中山北路一段105巷12號九樓之1,0,,1150505,土地:建物:1車位:房間個數:,,九層,010,華廈(10層含以下有電梯),住家用,,,25.85,1,1,1,有,有,冷氣2台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,8,2901.35,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、水費、電費、瓦斯費、網路費、其他-有裝潢。,整棟(戶)出租,115/05/10至115/06/30,有,一般轉租
買賣,大安區,房地(土地+建物),,潮州街26巷18號,5.45,,1150208,土地:1建物:1車位:,,一層,,華廈(10層含以下有電梯),住家用,,,21.78,2,1,1,有,,,2420,111.11,否,,0,0,有,,,,建築物含有：陽台外推。,,,,
租賃,大安區,房屋,,浦城街1號四樓,0,,1140830,土地:建物:車位:房間個數:6,,四層,005,公寓(無電梯),住家用,,,3.51,6,1,4,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,1,3703.7,否,,0,0,,,,,租金：含下列其他衍生費用：網路費、其他-清潔費。,分租雅房,114/09/01至115/09/01,無,一般轉租
租賃,萬華區,房屋,,和平西路三段187之1號四樓,0,,1150501,土地:建物:車位:房間個數:1,,四層,005,公寓(無電梯),住家用,,,3.93,7,0,7,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,1,2519.08,否,,0,0,,,,,,分租套房,115/05/05至116/05/04,無,一般轉租
買賣,中山區,房地(土地+建物),,明水路397巷7弄25號四樓,7.08,,1150529,土地:1建物:1車位:,,四層,,大樓(11層含以上有電梯),住家用,,,31.86,2,2,1,有,,,3500,109.86,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：陽台外推。,,,,
租賃,中山區,房屋,,農安街6號十二樓之7,0,,1150501,土地:建物:1車位:房間個數:,,十二層,014,住宅大樓(11層含以上有電梯),共有部分,,,15.9,1,0,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,6,3584.91,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、水費、電費、網路費。,整棟(戶)出租,115/05/01至116/02/28,有,一般轉租
買賣,文山區,房地(土地+建物),,秀明路二段18號二樓,9.94,,1150519,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,27.74,2,2,1,有,,,1600,57.68,否,,0,0,無,,,,建築物含有：陽臺外推。,,,,
買賣,內湖區,土地,,潭美段一小段0434-0000地號,0.27,,1150515,土地:1建物:0車位:,,,,,,,,0,,,,無,,,13,48.15,-,,0,0,無,,,,土地上有：未登記建物。,,,,
買賣,中山區,房地(土地+建物),,松江路313巷22號三樓,14.07,,1150327,土地:1建物:1車位:,,"三層,陽台",,公寓(5樓含以下無電梯),住家用,,,40.27,4,2,2,有,,,2640,65.56,否,,0,0,無,,,,,,,,
租賃,內湖區,房屋,,安康路183號五樓,0,,1150505,土地:建物:1車位:房間個數:,,五層,005,公寓(無電梯),住家用,,,30.81,4,1,2,有,無,冷氣4台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,3,843.88,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/06/05至116/06/04,無,社會住宅包租轉租
租賃,信義區,房屋,,忠孝東路五段790巷70弄1號四樓,0,,1150505,土地:建物:車位:房間個數:1,,四層,004,公寓(無電梯),住家用,,,3.3,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,3636.36,否,,0,0,,,,,租金：含下列其他衍生費用：網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/15至116/05/14,無,一般轉租
買賣,松山區,房地(土地+建物),,健康路35巷30號八樓,7.38,,1150301,土地:3建物:1車位:,,八層,,大樓(11層含以上有電梯),見其他登記事項,,,36.4,2,2,1,有,,,3460,95.05,否,,0,0,有,,,,建築物含有：其他增建。,,,,
租賃,士林區,房屋,,社中街210巷15號六樓,0,,1150504,土地:建物:1車位:房間個數:0,,六層,007,華廈(10層含以下有電梯),住家用,,,29.88,2,1,1,有,有,冷氣3台、熱水器、洗衣機、瓦斯或天然氣,1,435.07,否,,0,0,,,,,此案件租金總額為15000元，包含管理費2000元(由出租人負擔),整棟(戶)出租,115/05/05至116/05/04,有,社會住宅包租轉租
