CASE_T,DISTRICT,CASE_F,BUILD_NAME,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,TRANS_TARGET,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE,RENT_TYPE,RENT_PERIOD,MANAGE,RENT_SERVICE
預售屋,文山區,房地(土地+建物)+車位,元利四季莊園,臺北市文山區木柵路一段,8.42,,1150506,土地:2建物:1車位:1,A棟26F-A05號,二十六層,034,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,59.38,3,2,2,有,,,5967,108.08,否,坡道平面1,7.5,360,,31.04,2.79,25.55,,,,,
買賣,中正區,土地,,福和段一小段0223-0001地號,13.92,,1150518,土地:1建物:0車位:,,,,,,,,0,,,,無,,,891,64.01,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
租賃,中正區,房屋,,南昌路二段42巷12號三樓,0,,1150502,土地:建物:車位:房間個數:1,,三層,004,公寓(無電梯),住家用,,,4.4,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,2,4431.82,否,,0,0,,,,,租金：含下列其他衍生費用：網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/05至116/05/04,無,一般轉租
買賣,北投區,房地(土地+建物)+車位,,溫泉路126號三樓,13.43,,1150326,土地:1建物:1車位:5,,"一層,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),住家用,,,31.63,3,1,3,有,,,580,18.34,是,坡道平面5,12.21,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：未登記建物。備註：乙方同意不收新台幣244萬，贈與給甲方。,,,,
租賃,信義區,房屋,,吳興街284巷24弄67號二樓,0,,1150505,土地:建物:1車位:房間個數:,,二層,005,公寓(無電梯),,,,21.4,2,2,1,有,無,冷氣3台、熱水器,3,1401.87,否,,0,0,,,,,,整棟(戶)出租,115/05/05至116/05/04,無,無
買賣,北投區,房地(土地+建物),,文林北路129號八樓,11.38,,1130502,土地:2建物:1車位:,,八層,,大樓(11層含以上有電梯),見其他登記事項,,,58.03,3,2,3,有,,,6900,118.9,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。預售屋、或土地及建物分件登記案件。,,,,
租賃,北投區,房屋,,中和街256號,0,,1150501,土地:建物:車位:房間個數:1,,三層,003,透天厝,住家用,,,6.84,6,0,6,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,2,0,-,,0,0,,,,,302室,分租套房,115/05/05至116/05/04,無,一般轉租
買賣,文山區,房地(土地+建物)+車位,,景後街186號十三樓,2.79,,1100427,土地:1建物:1車位:1,,十三層,,大樓(11層含以上有電梯),見其他登記事項,,,38.72,3,2,2,有,,,2450,63.27,是,坡道機械1,0,180,有,,,,預售屋、或土地及建物分件登記案件。讓渡時間民國111年1月28日。金額新台幣2730萬元整。,,,,
買賣,松山區,房地(土地+建物),,寶清街103巷30號四樓,8.09,,1150309,土地:1建物:1車位:,,"四層,陽臺",,公寓(5樓含以下無電梯),住家用,,,24,2,2,1,有,,,1618,67.42,否,,0,0,無,,,,建築物含有：陽台外推、頂樓加蓋。,,,,
租賃,信義區,房屋,,基隆路一段350號五樓之67,0,,1150507,土地:建物:1車位:房間個數:,,五層,006,公寓(無電梯),住家用,,,14.68,2,1,1,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,1,953.68,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/06/07至116/06/06,有,社會住宅代管
租賃,中正區,房屋,,忠孝東路二段34號三樓,0,,1150501,土地:建物:2車位:房間個數:,,見其他登記事項,005,公寓(無電梯),住家用,,,59.71,11,0,6,有,無,冷氣11台、熱水器、電視機、冰箱、傢俱,9,1500.32,否,,0,0,,,,,租賃標的：含有多個門牌且未個別計算租金-台北市中正區忠孝東路二段34號三樓。,整棟(戶)出租,115/05/01至116/05/31,無,一般轉租
買賣,大安區,房地(土地+建物)+車位,,臥龍街268號十八樓,5.8,,1150520,土地:1建物:1車位:1,,十八層,,大樓(11層含以上有電梯),見其他登記事項,,,55.03,3,2,2,有,,,5500,119.28,否,坡道平面1,11.52,310,有,,,,,,,,
租賃,中山區,房屋,,德惠街23號三樓,0,,1150503,土地:建物:車位:房間個數:1,,三層,010,華廈(10層含以下有電梯),商業用,,,3.51,5,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,2,4501.42,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費、其他-清潔費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/10至116/05/09,無,一般轉租
買賣,信義區,房地(土地+建物)+車位,,松勇路53巷28號十二樓,18.16,,1150423,土地:1建物:1車位:2,,十二層,,大樓(11層含以上有電梯),見其他登記事項,,,111.02,,,,無,,,16425,193.04,否,坡道平面2,30.08,800,有,,,,案名:冠德信義F,,,,
買賣,萬華區,土地,,福星段二小段0695-0000地號,12.55,,1150130,土地:2建物:0車位:,,,,,,,,0,,,,無,,,4613,367.57,-,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。土地上有：未登記建物。,,,,
買賣,中正區,房地(土地+建物)+車位,,紹興南街22號九樓之1,4.59,,1110612,土地:1建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,屋頂突出物,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),見其他登記事項,,,32.86,2,1,1,有,,,3486,133,否,塔式車位1,8.53,250,有,,,,預售屋、或土地及建物分件登記案件。,,,,
租賃,大安區,房屋,,浦城街1號四樓,0,,1141218,土地:建物:車位:房間個數:6,,四層,005,公寓(無電梯),住家用,,,4.48,6,1,4,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,2,3482.14,否,,0,0,,,,,租金：含下列其他衍生費用：網路費、其他-清潔費。,分租雅房,115/01/01至115/03/31,無,一般轉租
買賣,萬華區,房地(土地+建物),,和平西路三段26號,5.14,,1150410,土地:1建物:1車位:,,一層,,透天厝,,,,8.25,1,0,1,有,,,1168,0,-,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
預售屋,北投區,房地(土地+建物)+車位,士科大院.,臺北市北投區洲美里福善路,8.18,,1150501,土地:4建物:1車位:1,B棟3號,四層,022,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,52.65,3,2,2,有,,,4820,102.19,否,坡道平面1,8.32,290,,26.6,2.31,23.75,,,,,
租賃,北投區,房屋,,裕民二路71號十二樓,0,,1150501,土地:建物:1車位:房間個數:,,十二層,019,住宅大樓(11層含以上有電梯),見其他登記事項,,,30.29,2,2,1,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、傢俱,8,2641.14,否,,0,0,,,,,租金：含下列其他衍生費用：管理費。,整棟(戶)出租,115/05/01至117/04/30,有,無
租賃,大安區,房屋,,和平東路二段265巷44號,0,,1150506,土地:建物:1車位:房間個數:,,一層,007,華廈(10層含以下有電梯),商業用,,,53.4,3,2,3,有,無,冷氣4台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,355.81,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/07/01至116/06/30,無,社會住宅包租轉租
買賣,大安區,房地(土地+建物)+車位,,信義路四段188號六樓之9,1.48,,1150321,土地:2建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,陽臺,屋頂突出物,露台,花台,地下一層,地下二層,地下三層",,大樓(11層含以上有電梯),商業用,,,18.64,1,1,1,有,,,2150,115.34,是,塔式車位1,0,0,有,,,,建築物含有：陽台外推、夾層。,,,,
買賣,萬華區,土地,,雙園段一小段0252-0000地號,1.21,,1150518,土地:1建物:0車位:,,,,,,,,0,,,,無,,,21,17.36,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
